town,flat_type,resale_price
TAMPINES,EXECUTIVE,688000
TAMPINES,EXECUTIVE,688000
TAMPINES,EXECUTIVE,688000
TAMPINES,EXECUTIVE,688000
TAMPINES,EXECUTIVE,688000
TAMPINES,EXECUTIVE,687500
TAMPINES,EXECUTIVE,686000
TAMPINES,EXECUTIVE,686000
TAMPINES,EXECUTIVE,685000
TAMPINES,EXECUTIVE,685000
TAMPINES,EXECUTIVE,685000
TAMPINES,EXECUTIVE,685000
TAMPINES,EXECUTIVE,685000
TAMPINES,EXECUTIVE,685000
TAMPINES,EXECUTIVE,685000
TAMPINES,EXECUTIVE,685000
TAMPINES,EXECUTIVE,683000
TAMPINES,EXECUTIVE,683000
TAMPINES,EXECUTIVE,683000
TAMPINES,EXECUTIVE,682500
JURONG EAST,EXECUTIVE,682000
TAMPINES,EXECUTIVE,682000
TAMPINES,EXECUTIVE,682000
TAMPINES,EXECUTIVE,682000
JURONG EAST,EXECUTIVE,680000
JURONG EAST,EXECUTIVE,680000
JURONG EAST,EXECUTIVE,680000
JURONG EAST,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,680000
TAMPINES,EXECUTIVE,678888
